name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
James McNerney Jr,489288,373137,339964,405137,303962,436478,287062,294997,331449,275207
Raymond Conner,185939,0,0,0,0,0,0,0,0,0
Michael Luttig,126218,0,145296,88583,67054,0,0,0,0,0
Gregory Smith,36550,22513,20699,0,0,0,0,0,0,0
Dennis Muilenburg,30852,27300,189924,19740,0,0,0,0,0,0
James Albaugh,0,0,76785,104687,70989,76030,69532,129818,76274,87155
James Bell,0,0,29392,137997,197692,171185,258139,94277,102901,79631
Laurette Koellner,0,0,0,0,0,0,0,0,114445,101765
Alan Mulally,0,0,0,0,0,0,0,0,0,83650
Total,868847,422950,802060,756144,639697,683693,614733,519092,625069,627408